name,activity,inside,nature,photo
11시11분,0,1,0,0
187센티멘트,0,1,0,0
88버거,0,1,0,0
가시식당,0,1,0,0
가시아방국수,0,1,0,0
가파도수산,0,1,0,0
가파도해물짜장짬뽕,0,1,0,0
갈치왕,0,1,0,0
고씨네천지국수,0,1,0,0
고이정 본점,0,0,0,0
고집돌우럭 제주공항점,0,1,0,0
고집돌우럭 중문점,0,1,0,0
고집돌우럭 함덕점,0,1,0,0
고쿠텐 서귀포점,0,1,0,1
곰막식당,0,1,0,0
국수1번가,0,1,0,0
국수바다 본점,0,1,0,0
그란데,0,1,0,0
그리다앤쿡,0,1,0,0
글라글라하와이,0,1,0,1
김희선제주몸국,0,1,0,1
까사디노아,0,1,0,1
꽃담수제버거,0,1,0,0
나라돈까스,0,1,0,0
나무식탁,0,1,0,0
난드르바당,0,0,0,1
남원수제돈까스,0,1,0,0
네거리식당,0,1,0,0
노조미,0,1,0,0
늘봄흑돼지,0,1,0,0
다람쥐식탁,0,1,0,0
다래향,0,1,0,0
다래향 세화점,0,1,0,0
다운타우너 제주애월,0,1,0,1
다정한식탁,0,1,0,1
달이뜨는식탁,0,1,0,1
당케올레국수,0,1,0,0
당포로나인돈카츠,0,1,0,0
대기정,0,1,0,0
더스푼,0,1,0,0
덕성원,0,1,0,0
덕성원 본점,0,1,0,0
데미안,0,1,0,0
도두반점 제주사수본점,0,1,0,0
도두반점 호텔더본점,0,1,0,1
도두해녀의집,0,1,1,1
돈사돈본관,0,1,1,0
돈이랑,0,1,0,0
돈카츠서황,0,1,0,0
동해미락,0,1,1,1
로맨틱새우,0,1,0,1
로이앤메이,0,1,0,1
론푸드차이나,0,1,0,0
류차이,0,1,0,0
마가리따은혜씨,0,1,1,1
마농 제주본점,0,1,0,1
마모루,0,1,0,0
만월당,0,1,0,1
만지식당,0,1,0,0
맛나식당,0,1,0,0
맛있는폴부엌,0,1,0,0
면차롱,0,1,0,0
명진전복,0,1,0,0
모루쿠다,0,1,0,0
모리노아루요,0,1,0,0
모살물,0,1,0,0
몬스터살롱,0,1,0,0
몰마농,0,1,0,0
무거버거,0,1,0,0
물질식육식당,0,1,0,0
미영이네식당,0,1,0,0
밀라네사,0,1,0,1
바다를본돼지 본점,0,1,1,1
바삭돈까스 신서귀포점,0,1,0,0
백부장집,0,1,0,0
별돈별 정원점,0,1,0,0
보영반점,0,1,0,0
복자씨연탄구이,0,1,0,0
볼고룡짬뽕,0,1,0,0
부두식당,0,1,0,0
비스트로낭,0,1,0,1
빌레왓,0,1,0,1
뽈살집 제주본점,0,1,0,0
뽕끄랑,0,1,1,0
산도롱맨도롱,0,1,0,0
산방식당,0,1,0,0
살찐고등어,0,1,0,0
삼보식당,0,1,0,0
삿뽀로우동집 본점,0,1,0,0
상춘재,0,1,0,0
색달식당 중문본점,0,1,0,0
서작가초밥집,0,1,0,0
석경초밥,0,1,0,0
성산옥탑,0,1,0,0
성산짬뽕,0,1,0,0
성산해녀짬뽕,0,1,0,0
소낭식당,0,1,0,0
소렉,0,1,0,0
소리원,0,1,0,0
소봉식당,0,1,0,0
송림반점,0,1,0,0
수두리보말칼국수,0,1,0,0
수우동,0,1,0,0
수타명가,0,1,0,0
숙성도 노형점,0,1,0,0
순옥이네명가 본점,0,1,0,0
쉐프의 스시이야기,0,1,0,0
스모크하우스인구억,0,1,0,0
스시도모다찌 제주점,0,1,0,0
스시애월,0,1,0,0
스시오하요,0,1,0,0
스시우다,0,1,0,0
스시호시카이,0,1,0,0
시월,0,1,0,0
식당마요네즈,0,0,1,1
신가네짬뽕,0,1,0,0
신설오름,0,1,0,0
심야식당,0,1,0,0
쌍둥이횟집,0,1,0,0
아서원,0,1,0,0
아임파인,0,1,0,0
애월식탁,0,1,0,0
애월하미,0,1,0,0
얌얌돈까스,0,1,0,0
양가형제,0,1,0,0
어부피자,0,1,0,0
엄블랑,0,1,0,0
연돈,0,1,0,0
연월,0,1,0,0
영육일삼,0,1,0,0
오일장반점,0,1,0,0
오크라,0,1,0,0
올래국수 본점,0,1,0,0
올래국수 본점,0,1,0,0
올레안뜰,0,1,0,1
와랑와랑,0,1,0,0
요기소바 본점,0,1,0,0
용이식당,0,1,0,0
우동카덴,0,1,0,0
우진해장국,0,1,0,0
웅스키친,0,1,0,0
원조마라도짜장면집,0,1,0,0
윌라라,0,1,0,0
유달식당,0,1,0,0
유일반점,0,1,0,0
윤옥,0,1,0,0
은희네소고기해장국 본점,0,1,0,0
은희네해장국 노형점,0,1,0,0
이스트포레스트,0,1,0,0
이춘옥원조고등어쌈밥 애월본점,0,1,0,0
임성반점,0,1,0,0
잇뽕사계,0,1,0,0
잇칸시타,0,1,0,0
자리돔횟집,0,1,0,0
자매국수 본점,0,1,0,0
자연스러운식당,0,1,0,1
장인의집,0,1,0,0
제라진밥상,0,1,0,0
제주 오성 본점,0,1,0,0
제주고로,0,1,0,0
제주광해 애월본점,0,1,0,0
제주판타스틱버거,0,1,0,1
종달미소,0,1,0,0
중국집마씸,0,1,0,0
짬뽕에취한날,0,1,0,0
착한집,0,1,0,0
천금반점,0,1,0,0
천짓골식당,0,1,0,0
춘심이네 본점,0,1,0,0
치저스,0,1,0,0
칠돈가 본점,0,1,0,0
칠돈가 중문점,0,1,0,0
컬쳐드,0,1,0,0
코우,0,1,0,0
코코리파이프,0,1,0,1
코하쿠,0,1,0,0
크랩잭 제주,0,1,0,0
큰돈가 중문점,0,1,0,0
털보네고양이,0,1,0,0
파라토도스,0,1,0,0
페를로,0,1,0,1
포커스,0,1,0,0
표선수제돈가스,0,1,0,0
표선우동가게,0,1,0,0
피어22,0,1,0,1
피자굽는돌하르방 본점,0,1,0,0
피제리아3657,0,1,1,1
하갈비국수,0,1,0,0
하나니꾸,0,1,0,0
하도핑크,0,1,0,0
하례정원,0,1,0,1
하르방짬뽕,0,1,0,0
하찌,0,1,0,0
하하호호 우도본점,0,1,0,1
하하호호 월정리점,0,1,0,0
한림칼국수,0,1,0,0
함쉐프키친,0,1,0,0
해왓,0,1,0,0
해월정,0,1,0,0
협재수돈가스 수우동직영점,0,1,0,1
협재수우동 쇠소깍직영점,0,1,0,0
호끌락다락,0,1,0,0
호자,0,1,0,0
홍성방,0,1,0,0
환이네이태리식당,0,1,0,1
황궁쟁반짜장 노형점,0,1,0,0
황금빅버거 서귀포점,0,1,0,0
황금손가락,0,1,0,0
흑돈가 제주본점,0,1,0,0
흑돼지BBQ,0,1,0,0
히비 안도 코하쿠,0,1,0,0